nom,type,ville,description,image_monument_url,lien_wikipedia,image_ville_url
Fes railway station,musée,Oujda,"The Fes Railway Station is the main station in the Moroccan city of Fes. While there are secondary stations for local connections, this station serves long-distance mainline trains.",https://upload.wikimedia.org/wikipedia/en/thumb/5/5b/Stazione_di_F%C3%A8s.jpg/320px-Stazione_di_F%C3%A8s.jpg,https://en.wikipedia.org/wiki/Fes_railway_station,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Oujda.mosque_et_mairie.jpg/330px-Oujda.mosque_et_mairie.jpg
Almoravid Qubba,musée,Rabat,"The Almoravid Qubba, also known as the Qubbat al-Ba'diyyin or Qubbat al-Barudiyyin, is a small monument in Marrakesh, Morocco. It was erected by the Almoravid dynasty in the early 12th century. It is notable for its extraordinary decoration and for being one of the only remnants of Almoravid architecture in Marrakesh.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Almoravid_Qubba_IMG_5629.jpg/330px-Almoravid_Qubba_IMG_5629.jpg,https://en.wikipedia.org/wiki/Almoravid_Qubba,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Morocco_-_Rabat_%2831387775324%29.jpg/330px-Morocco_-_Rabat_%2831387775324%29.jpg
Lima Stock Exchange,musée,Casablanca,"The Lima Stock Exchange is the stock exchange of Peru, located in the capital Lima. It has several indices. The S&P/BVL Peru General Index is a value-weighted index that tracks the performance of the largest and most frequently traded stocks on the Lima Exchange.",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Bolsa_de_Valores_de_Lima_logo.png/330px-Bolsa_de_Valores_de_Lima_logo.png,https://en.wikipedia.org/wiki/Lima_Stock_Exchange,https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/Hassan_II_mosque%2C_Casablanca_2.jpg/330px-Hassan_II_mosque%2C_Casablanca_2.jpg
Kasbah of the Udayas,musée,Rabat,"The Kasbah of the Udayas, also spelled Kasbah of the Oudaias or of the Oudayas, is a kasbah (citadel) in Rabat, Morocco. It is located on a hill at the mouth of the Bou Regreg opposite Salé, and adjacent to the Medina quarter of Rabat. It is listed, along with other sites in Rabat, as a UNESCO World Heritage Site.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Kasbah_Oudayas_exterior.jpg/330px-Kasbah_Oudayas_exterior.jpg,https://en.wikipedia.org/wiki/Kasbah_of_the_Udayas,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Morocco_-_Rabat_%2831387775324%29.jpg/330px-Morocco_-_Rabat_%2831387775324%29.jpg
Hassan II Mosque,musée,Casablanca,"The Hassan II Mosque is a mosque in Casablanca, Morocco. It is the second largest functioning mosque in Africa and is the 14th largest in the world. Its minaret is the world's second tallest minaret at 210 metres (689 ft). Completed in 1993, it was designed by Michel Pinseau under the guidance of King Hassan II and built by Moroccan artisans from all over the kingdom. The minaret is 60 stories high topped by a laser, the light from which is directed towards Mecca. The mosque stands on a promontory looking out to the Atlantic Ocean; worshippers can pray over the sea but there is no glass floor looking into the sea. The walls are of hand-crafted marble and the roof is retractable. A maximum of 105,000 worshippers can gather together for prayer: 25,000 inside the mosque hall and another 80,000 on the mosque's outside ground.",https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/Hassan_II_mosque%2C_Casablanca_2.jpg/330px-Hassan_II_mosque%2C_Casablanca_2.jpg,https://en.wikipedia.org/wiki/Hassan_II_Mosque,https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/Hassan_II_mosque%2C_Casablanca_2.jpg/330px-Hassan_II_mosque%2C_Casablanca_2.jpg
Capitoline Temple,musée,Meknès,"The Capitoline Temple is an ancient monument located in the ancient city of Volubilis in Fès-Meknès, Morocco. It dates from the Roman era, and was situated in the province of Mauretania Tingitana.",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Volubilis_Capitoline_temple.jpg/320px-Volubilis_Capitoline_temple.jpg,https://en.wikipedia.org/wiki/Capitoline_Temple,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Entrada_a_Meknes%2C_Marruecos._-_panoramio.jpg/330px-Entrada_a_Meknes%2C_Marruecos._-_panoramio.jpg
Cadi Ayyad University,musée,Essaouira,"Cadi Ayyad University : jāmiʿat al-qāḍī ʿayyāḍ, French: Université Cadi Ayyad) is a university in Marrakesh and one of the largest universities in Morocco. One of its associated colleges, the École nationale des sciences appliquées de Marrakech, was created in 2000 by the Ministry of Higher Education and specializes in engineering and scientific research. Cadi Ayyad University was established in 1978 and operates 13 institutions in the Marrakesh-Safi region of Morocco in four main cities, including Kalaat Sraghna, Essaouira and Safi in addition to Marrakesh.",https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Semlalia_Faculty_of_Science_-_Cadi_Ayyad_University_-_Marrakesh.jpg/330px-Semlalia_Faculty_of_Science_-_Cadi_Ayyad_University_-_Marrakesh.jpg,https://en.wikipedia.org/wiki/Cadi_Ayyad_University,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Morocco_-_Essaouira_Part_2_%2831679848385%29.jpg/330px-Morocco_-_Essaouira_Part_2_%2831679848385%29.jpg
Oujda-Angad Prefecture,musée,Oujda,"Oujda-Angad Prefecture is an urban prefecture located within the Oriental Region, of northeast Morocco. The north of the province has been a part of the historical region of Béni Iznassen tribes.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Oujda_Perfecture%2C_Oriental_Region%2C_Morocco.png/330px-Oujda_Perfecture%2C_Oriental_Region%2C_Morocco.png,https://en.wikipedia.org/wiki/Oujda-Angad_Prefecture,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Oujda.mosque_et_mairie.jpg/330px-Oujda.mosque_et_mairie.jpg
Ibn Danan Synagogue,musée,Meknès,"The Ibn Danan Synagogue is an Orthodox Jewish congregation and synagogue, located in Fes, Fès-Meknès, Morocco. The synagogue is located in the Mellah district within Fes el-Jdid, one of the components of the historic medina of Fes.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Ibn_Danan_Synagogue_DSCF5080.jpg/330px-Ibn_Danan_Synagogue_DSCF5080.jpg,https://en.wikipedia.org/wiki/Ibn_Danan_Synagogue,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Entrada_a_Meknes%2C_Marruecos._-_panoramio.jpg/330px-Entrada_a_Meknes%2C_Marruecos._-_panoramio.jpg
Wignacourt Museum,musée,Rabat,"The Wignacourt Museum is a museum in Rabat, Malta. It is housed in an 18th-century Baroque building which housed the Chaplains of the Order of St. John, and it is named after Grand Master Alof de Wignacourt, who ruled over the Maltese Islands between 1601 and 1622.",https://upload.wikimedia.org/wikipedia/en/4/4c/Wignacourt_Museum_coat_of_arms.jpg,https://en.wikipedia.org/wiki/Wignacourt_Museum,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Morocco_-_Rabat_%2831387775324%29.jpg/330px-Morocco_-_Rabat_%2831387775324%29.jpg
MC Oujda,musée,Oujda,"Mouloudia Club of Oujda, commonly abbreviated to MC Oudja, is a Moroccan football club based in Oujda. Mouloudia, which closely translates to ""birth"" in Arabic, was named after the coincidence of the day of its creation: on March 16, 1946 with the anniversary of the birth of Muhammad.",https://upload.wikimedia.org/wikipedia/en/7/70/MC_Oujda_logo.png,https://en.wikipedia.org/wiki/MC_Oujda,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Oujda.mosque_et_mairie.jpg/330px-Oujda.mosque_et_mairie.jpg
Oujda-Angad Prefecture,musée,Oujda,"Oujda-Angad Prefecture is an urban prefecture located within the Oriental Region, of northeast Morocco. The north of the province has been a part of the historical region of Béni Iznassen tribes.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Oujda_Perfecture%2C_Oriental_Region%2C_Morocco.png/330px-Oujda_Perfecture%2C_Oriental_Region%2C_Morocco.png,https://en.wikipedia.org/wiki/Oujda-Angad_Prefecture,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Oujda.mosque_et_mairie.jpg/330px-Oujda.mosque_et_mairie.jpg
Dar Batha,musée,Fès,"Dar Batḥa, or Qasr al-Batḥa, is a former royal palace and present-day museum in the city of Fez, Morocco. The palace was commissioned by the Alaouite Sultan Hassan I in the late 19th century and finished under his successor Abdelaziz. It was converted into a museum of historical arts and crafts in 1915 with a collection that now comprises over 6,500 objects. The palace is located near Bab Bou Jeloud at the western edge of Fes el-Bali, the old medina quarter of the city, and close to Fes el-Jdid, the new medina quarter. It is adjacent to the Dar el-Beida palace located to its southeast, which was originally part of the same complex.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Dar_Batha_DSCF2861.jpg/330px-Dar_Batha_DSCF2861.jpg,https://en.wikipedia.org/wiki/Dar_Batha,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/University_karaouiyine_of_fes.jpg/330px-University_karaouiyine_of_fes.jpg
Asilah,musée,Tanger,"Asilah is a fortified town on the northwest tip of the Atlantic coast of Morocco, about 31 km (19 mi) south of Tangier. Its ramparts and gateworks remain fully intact.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Asilah_seafront.jpg/330px-Asilah_seafront.jpg,https://en.wikipedia.org/wiki/Asilah,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Tanger_cor.jpg/330px-Tanger_cor.jpg
Mausoleum of Sidi Harazem,musée,Casablanca,"The Mausoleum of Sidi Harazem or Marabout of Sidi Harazem is a funerary monument and shrine in Fez, Morocco. It is located in the Bab Ftouh Cemetery, one of the city's largest historic cemeteries. It contains the tomb of Sidi 'Ali ibn Harazem, a 12th-century Sufi mystic who died in 1164–65.",https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/20230912_11h3793Em_Sidi_Harazem_%2853249909374%29.jpg/330px-20230912_11h3793Em_Sidi_Harazem_%2853249909374%29.jpg,https://en.wikipedia.org/wiki/Mausoleum_of_Sidi_Harazem,https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/Hassan_II_mosque%2C_Casablanca_2.jpg/330px-Hassan_II_mosque%2C_Casablanca_2.jpg
USS Rudyerd Bay,musée,Casablanca,"USS Rudyerd Bay (CVE-81) was the twenty-seventh of fifty Casablanca-class escort carriers built for the United States Navy during World War II. She was named after Rudyerd Bay, within Ketcchikan Gateway Bourough, of the Territory of Alaska. Today, the bay lies within Misty Fjords National Monument. The ship was launched in January 1944, commissioned in February, and served as a replenishment and transport carrier throughout the Mariana and Palau Islands campaign and the Philippines campaign. Later, she served as a frontline carrier, providing air cover and support for the invasion of Iwo Jima, and the Battle of Okinawa. Postwar, she participated in Operation Magic Carpet, repatriating U.S. servicemen from throughout the Pacific. She was decommissioned in June 1946, when she was mothballed in the Atlantic Reserve Fleet. Ultimately, she was sold for scrapping in January 1960.",https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/USS_Rudyerd_Bay_%28CVE-81%29_underway_in_1944.jpeg/330px-USS_Rudyerd_Bay_%28CVE-81%29_underway_in_1944.jpeg,https://en.wikipedia.org/wiki/USS_Rudyerd_Bay,https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/Hassan_II_mosque%2C_Casablanca_2.jpg/330px-Hassan_II_mosque%2C_Casablanca_2.jpg
Fès–Saïs Airport,musée,Meknès,"Saïss Airport or Fès–Saïss Airport is an airport serving Fez, the capital city of the Fès-Meknès region in Morocco. The airport crossed the million passengers mark in 2017 for the first time of its history by totalising 1,115,595 travelers.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/AEROPORT_FES_SAISS_FES_Commune_Oulad_Tay.jpg/330px-AEROPORT_FES_SAISS_FES_Commune_Oulad_Tay.jpg,https://en.wikipedia.org/wiki/F%C3%A8s%E2%80%93Sa%C3%AFs_Airport,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Entrada_a_Meknes%2C_Marruecos._-_panoramio.jpg/330px-Entrada_a_Meknes%2C_Marruecos._-_panoramio.jpg
Marrakech Museum,musée,Marrakech,"The Museum of Marrakech is a historic palace and museum located in the old center of Marrakesh, Morocco. In addition to its notable architecture, the museum's collection showcases various historic art objects and contemporary art from Morocco.",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Courtyard_with_Chandelier_and_Fountain_%285038922480%29.jpg/330px-Courtyard_with_Chandelier_and_Fountain_%285038922480%29.jpg,https://en.wikipedia.org/wiki/Marrakech_Museum,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Pavillon_Menarag%C3%A4rten.jpg/330px-Pavillon_Menarag%C3%A4rten.jpg
Sidi Mohammed ben Abdallah Museum,musée,Essaouira,"The Sidi Mohammed ben Abdallah Museum is a history museum in the city of Essaouira, Morocco. It was named after the founder of the city, Mohammed ben Abdallah.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Phenician_plate_with_red_slip_7th_century_BCE_excavated_in_Mogador_island.jpg/330px-Phenician_plate_with_red_slip_7th_century_BCE_excavated_in_Mogador_island.jpg,https://en.wikipedia.org/wiki/Sidi_Mohammed_ben_Abdallah_Museum,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Morocco_-_Essaouira_Part_2_%2831679848385%29.jpg/330px-Morocco_-_Essaouira_Part_2_%2831679848385%29.jpg
Taroudant,musée,Ouarzazate,"Taroudant is a city in the Sous in southwestern Morocco. It is situated east of Agadir on the road to Ouarzazate and south of Marrakesh. Today, it is a small market town and a tourist destination.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Al_Kassbah%2C_Taroudant%2C_Morocco_-_panoramio.jpg/330px-Al_Kassbah%2C_Taroudant%2C_Morocco_-_panoramio.jpg,https://en.wikipedia.org/wiki/Taroudant,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Kasbah_Taourirt_in_Ouarzazate_2011.jpg/330px-Kasbah_Taourirt_in_Ouarzazate_2011.jpg
Agadir–Al Massira Airport,musée,Agadir,"Agadir–Al Massira Airport is an international airport serving Agadir, a major city in southwest Morocco and the capital of Souss-Massa region.",https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/%D0%93.%D0%90%D0%B3%D0%B0%D0%B4%D0%B8%D1%80%2C_%D0%9C%D0%B0%D1%80%D0%BE%D0%BA%D0%BA%D0%BE._-_panoramio_%281%29.jpg/330px-%D0%93.%D0%90%D0%B3%D0%B0%D0%B4%D0%B8%D1%80%2C_%D0%9C%D0%B0%D1%80%D0%BE%D0%BA%D0%BA%D0%BE._-_panoramio_%281%29.jpg,https://en.wikipedia.org/wiki/Agadir%E2%80%93Al_Massira_Airport,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Agadir-cityreflection.jpg/330px-Agadir-cityreflection.jpg
Casablanca,musée,Casablanca,"Casablanca is the largest city in Morocco and the country's economic and business centre. Located on the Atlantic coast of the Chaouia plain in the central-western part of Morocco, the city has a population of about 3.22 million in the urban area, and over 4.27 million in Greater Casablanca, making it the most populous city in the Maghreb region, and the eighth-largest in the Arab world.",https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/Hassan_II_mosque%2C_Casablanca_2.jpg/330px-Hassan_II_mosque%2C_Casablanca_2.jpg,https://en.wikipedia.org/wiki/Casablanca,https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/Hassan_II_mosque%2C_Casablanca_2.jpg/330px-Hassan_II_mosque%2C_Casablanca_2.jpg
Moulay Idriss Zerhoun,musée,Meknès,"Moulay Idriss, Moulay Driss Zerhoun or simply Zerhoun is a town in the Fès-Meknès region of northern Morocco, spread over two hills at the base of Mount Zerhoun. It is famous for being the site of the tomb of Idris I, the first major Islamic ruler of Morocco, after whom the town is named. It is located near Meknes and overlooks the ruins of Volubilis a few kilometers away.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Moulay_Idriss_2.jpg/330px-Moulay_Idriss_2.jpg,https://en.wikipedia.org/wiki/Moulay_Idriss_Zerhoun,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Entrada_a_Meknes%2C_Marruecos._-_panoramio.jpg/330px-Entrada_a_Meknes%2C_Marruecos._-_panoramio.jpg
MC Oujda,musée,Oujda,"Mouloudia Club of Oujda, commonly abbreviated to MC Oudja, is a Moroccan football club based in Oujda. Mouloudia, which closely translates to ""birth"" in Arabic, was named after the coincidence of the day of its creation: on March 16, 1946 with the anniversary of the birth of Muhammad.",https://upload.wikimedia.org/wikipedia/en/7/70/MC_Oujda_logo.png,https://en.wikipedia.org/wiki/MC_Oujda,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Oujda.mosque_et_mairie.jpg/330px-Oujda.mosque_et_mairie.jpg
Zoulikha Nasri,musée,Oujda,Zoulikha Nasri was a Moroccan politician. She was an advisor to King Mohammed VI and managing director of the Mohammed V Foundation for Solidarity. She was Morocco's first female royal advisor.,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Zoulikha_Nasri.jpg/330px-Zoulikha_Nasri.jpg,https://en.wikipedia.org/wiki/Zoulikha_Nasri,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Oujda.mosque_et_mairie.jpg/330px-Oujda.mosque_et_mairie.jpg
Tangier,musée,Tanger,"Tangier is a city in northwestern Morocco, on the coasts of the Mediterranean Sea and the Atlantic Ocean. The city is the capital of the Tanger-Tetouan-Al Hoceima region, as well as the Tangier-Assilah Prefecture of Morocco.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Tanger_cor.jpg/330px-Tanger_cor.jpg,https://en.wikipedia.org/wiki/Tangier,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Tanger_cor.jpg/330px-Tanger_cor.jpg
Bou Jeloud Mosque,musée,Fès,"The Bou Jeloud Mosque is a historic Almohad-era mosque in the former Kasbah of Bou Jeloud, located near Bab Bou Jeloud, in Fes, Morocco.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Bou_Jeloud_mosque3.jpg/330px-Bou_Jeloud_mosque3.jpg,https://en.wikipedia.org/wiki/Bou_Jeloud_Mosque,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/University_karaouiyine_of_fes.jpg/330px-University_karaouiyine_of_fes.jpg
Marrakesh Railway Station,musée,Oujda,"The Marrakesh Railway Station is a railway station in Marrakesh, Morocco; it is currently the southern end-point of the Moroccan railway system. The current station was opened on August 10, 2008.",https://upload.wikimedia.org/wikipedia/en/thumb/f/f6/Stazione_di_Marrakech.jpg/330px-Stazione_di_Marrakech.jpg,https://en.wikipedia.org/wiki/Marrakesh_Railway_Station,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Oujda.mosque_et_mairie.jpg/330px-Oujda.mosque_et_mairie.jpg
Simon Attias Synagogue,musée,Essaouira,"The Simon Attias Synagogue is a former Jewish synagogue, located in Essaouira, formerly known as Mogador, in Marrakesh-Safi, Morocco. It is also known as the Bet Ha-Knesset Simon Attias, M'sod Attias and Shaarei T'filah. The synagogue was built in 1882. The former synagogue has been incorporated as part of Bayt Dakira, a Jewish museum.",https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Bayt_Dakira_Essaouira_07.jpg/330px-Bayt_Dakira_Essaouira_07.jpg,https://en.wikipedia.org/wiki/Simon_Attias_Synagogue,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Morocco_-_Essaouira_Part_2_%2831679848385%29.jpg/330px-Morocco_-_Essaouira_Part_2_%2831679848385%29.jpg
1948 anti-Jewish riots in Oujda and Jerada,musée,Oujda,"Anti-Jewish riots occurred on June 7–8, 1948, in the towns of Oujda and Jerada, in the French protectorate of Morocco in response to the 1948 Arab–Israeli War ensuing the declaration of the establishment of the State of Israel on May 14. The two towns—located near the border with Algeria—were departure points for Moroccan Jews seeking to migrate to Israel; at the time they were not permitted to do so from within Morocco. In the events, 47 Jews and one Frenchman were killed, many were injured, and property was damaged.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Oujda_cimeti%C3%A8re_juif_001.JPG/330px-Oujda_cimeti%C3%A8re_juif_001.JPG,https://en.wikipedia.org/wiki/1948_anti-Jewish_riots_in_Oujda_and_Jerada,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Oujda.mosque_et_mairie.jpg/330px-Oujda.mosque_et_mairie.jpg
Almoravid Qubba,musée,Rabat,"The Almoravid Qubba, also known as the Qubbat al-Ba'diyyin or Qubbat al-Barudiyyin, is a small monument in Marrakesh, Morocco. It was erected by the Almoravid dynasty in the early 12th century. It is notable for its extraordinary decoration and for being one of the only remnants of Almoravid architecture in Marrakesh.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Almoravid_Qubba_IMG_5629.jpg/330px-Almoravid_Qubba_IMG_5629.jpg,https://en.wikipedia.org/wiki/Almoravid_Qubba,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Morocco_-_Rabat_%2831387775324%29.jpg/330px-Morocco_-_Rabat_%2831387775324%29.jpg
Funduq al-Najjarin,musée,Casablanca,"Funduq al-Najjarin is a historic funduq in Fes el Bali, the old medina quarter in the city of Fez, Morocco.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Fes_-_Fondouk_el-Nejjarine.jpg/320px-Fes_-_Fondouk_el-Nejjarine.jpg,https://en.wikipedia.org/wiki/Funduq_al-Najjarin,https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/Hassan_II_mosque%2C_Casablanca_2.jpg/330px-Hassan_II_mosque%2C_Casablanca_2.jpg
Essaouira Province,musée,Essaouira,"Essaouira is a province in the Moroccan region of Marrakesh-Safi. Its population in 2004 was 452,979",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Essaoeira_Province.png/330px-Essaoeira_Province.png,https://en.wikipedia.org/wiki/Essaouira_Province,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Morocco_-_Essaouira_Part_2_%2831679848385%29.jpg/330px-Morocco_-_Essaouira_Part_2_%2831679848385%29.jpg
Moulay Idriss Zerhoun,musée,Meknès,"Moulay Idriss, Moulay Driss Zerhoun or simply Zerhoun is a town in the Fès-Meknès region of northern Morocco, spread over two hills at the base of Mount Zerhoun. It is famous for being the site of the tomb of Idris I, the first major Islamic ruler of Morocco, after whom the town is named. It is located near Meknes and overlooks the ruins of Volubilis a few kilometers away.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Moulay_Idriss_2.jpg/330px-Moulay_Idriss_2.jpg,https://en.wikipedia.org/wiki/Moulay_Idriss_Zerhoun,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Entrada_a_Meknes%2C_Marruecos._-_panoramio.jpg/330px-Entrada_a_Meknes%2C_Marruecos._-_panoramio.jpg
Memphis National Cemetery,musée,Tanger,"Memphis National Cemetery is a United States National Cemetery located in the Nutbush neighborhood in northeast Memphis, Tennessee. Administered by the United States Department of Veterans Affairs, it encompasses 44.2 acres (17.9 ha), and as of the end of 2007, had 42,184 interments.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Memphis_national_cemetery.jpg/330px-Memphis_national_cemetery.jpg,https://en.wikipedia.org/wiki/Memphis_National_Cemetery,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Tanger_cor.jpg/330px-Tanger_cor.jpg
Lima Stock Exchange,musée,Casablanca,"The Lima Stock Exchange is the stock exchange of Peru, located in the capital Lima. It has several indices. The S&P/BVL Peru General Index is a value-weighted index that tracks the performance of the largest and most frequently traded stocks on the Lima Exchange.",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Bolsa_de_Valores_de_Lima_logo.png/330px-Bolsa_de_Valores_de_Lima_logo.png,https://en.wikipedia.org/wiki/Lima_Stock_Exchange,https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/Hassan_II_mosque%2C_Casablanca_2.jpg/330px-Hassan_II_mosque%2C_Casablanca_2.jpg
Zellij,musée,Casablanca,"Zellij, also spelled zillij or zellige, is a style of mosaic tilework made from individually hand-chiseled tile pieces. The pieces were typically of different colours and fitted together to form various patterns on the basis of tessellations, most notably elaborate Islamic geometric motifs such as radiating star patterns composed of various polygons. This form of Islamic art is one of the main characteristics of architecture in the western Islamic world. It is found in the architecture of Morocco, the architecture of Algeria, early Islamic sites in Tunisia, and in the historic monuments of al-Andalus. From the 14th century onwards, zellij became a standard decorative element along lower walls, in fountains and pools, on minarets, and for the paving of floors.",https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/%D9%86%D8%B8%D8%B1%D8%A9_%D9%85%D9%82%D8%B1%D8%A8%D8%A9_%D9%84%D9%84%D8%B2%D9%84%D9%8A%D8%AC_%D9%81%D9%8A_%D9%85%D8%AF%D8%B1%D8%B3%D8%A9_%D8%A7%D8%A8%D9%86_%D9%8A%D9%88%D8%B3%D9%81.jpeg/330px-%D9%86%D8%B8%D8%B1%D8%A9_%D9%85%D9%82%D8%B1%D8%A8%D8%A9_%D9%84%D9%84%D8%B2%D9%84%D9%8A%D8%AC_%D9%81%D9%8A_%D9%85%D8%AF%D8%B1%D8%B3%D8%A9_%D8%A7%D8%A8%D9%86_%D9%8A%D9%88%D8%B3%D9%81.jpeg,https://en.wikipedia.org/wiki/Zellij,https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/Hassan_II_mosque%2C_Casablanca_2.jpg/330px-Hassan_II_mosque%2C_Casablanca_2.jpg
Tanger Outlets Atlantic City,musée,Tanger,"Tanger Outlets Atlantic City, formerly known as The Walk, is a 109-store open-air outlet mall in Atlantic City, New Jersey. It is the only outlet mall in Atlantic County. The mall opened in August 2003 and spans 3 city blocks, featuring a unique layout in outlet mall construction.",https://upload.wikimedia.org/wikipedia/en/f/ff/Acoutletslogo.png,https://en.wikipedia.org/wiki/Tanger_Outlets_Atlantic_City,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Tanger_cor.jpg/330px-Tanger_cor.jpg
1948 anti-Jewish riots in Oujda and Jerada,musée,Oujda,"Anti-Jewish riots occurred on June 7–8, 1948, in the towns of Oujda and Jerada, in the French protectorate of Morocco in response to the 1948 Arab–Israeli War ensuing the declaration of the establishment of the State of Israel on May 14. The two towns—located near the border with Algeria—were departure points for Moroccan Jews seeking to migrate to Israel; at the time they were not permitted to do so from within Morocco. In the events, 47 Jews and one Frenchman were killed, many were injured, and property was damaged.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Oujda_cimeti%C3%A8re_juif_001.JPG/330px-Oujda_cimeti%C3%A8re_juif_001.JPG,https://en.wikipedia.org/wiki/1948_anti-Jewish_riots_in_Oujda_and_Jerada,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Oujda.mosque_et_mairie.jpg/330px-Oujda.mosque_et_mairie.jpg
Seven Saints of Marrakesh,musée,Marrakech,"The Seven Saints of Marrakesh or Patron Saints of Marrakesh are seven historical Muslim figures buried in Marrakesh, Morocco. Each of them was a famous Muslim jurisprudent, scholar or wali venerated for their piety or other mystical attributes. Their tombs form the basis of a centuries-old annual pilgrimage or ziyara, during which visitors pray at each of their tombs over seven days.",https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/%D8%A3%D8%B6%D8%B1%D8%AD%D8%A9_%D8%A7%D9%84%D8%B1%D8%AC%D8%A7%D9%84_%D8%A7%D9%84%D8%B3%D8%A8%D8%B9%D8%A9_%D8%A8%D9%85%D8%B1%D8%A7%D9%83%D8%B4.jpg/330px-%D8%A3%D8%B6%D8%B1%D8%AD%D8%A9_%D8%A7%D9%84%D8%B1%D8%AC%D8%A7%D9%84_%D8%A7%D9%84%D8%B3%D8%A8%D8%B9%D8%A9_%D8%A8%D9%85%D8%B1%D8%A7%D9%83%D8%B4.jpg,https://en.wikipedia.org/wiki/Seven_Saints_of_Marrakesh,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Pavillon_Menarag%C3%A4rten.jpg/330px-Pavillon_Menarag%C3%A4rten.jpg
